epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2839.56,0.76939,0.56926,0.80733,0.88457,0.6636,0.77211,0.58345,0.74098,0.60777,0.81305,0.0001189,0.0001189,0.0001189
91,2868.62,0.74925,0.60534,0.79937,0.88155,0.66655,0.77001,0.58024,0.74874,0.60914,0.81293,0.000109,0.000109,0.000109
92,2895.29,0.86553,0.70823,0.82715,0.86127,0.66336,0.76528,0.58031,0.7537,0.61224,0.81356,9.91e-05,9.91e-05,9.91e-05
93,2922.04,0.76621,0.6147,0.8187,0.86127,0.66336,0.76528,0.58031,0.7537,0.61224,0.81356,8.92e-05,8.92e-05,8.92e-05
94,2948.77,0.75122,0.6381,0.79395,0.86853,0.65423,0.76775,0.57857,0.75648,0.61527,0.81416,7.93e-05,7.93e-05,7.93e-05
95,2975.46,0.82711,0.61601,0.82451,0.80424,0.70508,0.7686,0.5763,0.75863,0.61607,0.81448,6.94e-05,6.94e-05,6.94e-05
96,3002.15,0.80962,0.62198,0.7607,0.79881,0.70669,0.76739,0.57808,0.75931,0.61774,0.81463,5.95e-05,5.95e-05,5.95e-05
97,3029,0.76675,0.61129,0.81987,0.79881,0.70669,0.76739,0.57808,0.75931,0.61774,0.81463,4.96e-05,4.96e-05,4.96e-05
98,3056.08,0.6623,0.58833,0.84934,0.79543,0.70629,0.76781,0.57706,0.75788,0.61859,0.81441,3.97e-05,3.97e-05,3.97e-05
99,3082.95,0.71658,0.59626,0.83094,0.79593,0.70265,0.76731,0.57214,0.75606,0.61914,0.81421,2.98e-05,2.98e-05,2.98e-05
100,3110.05,0.76405,0.61167,0.80465,0.79728,0.69384,0.7623,0.57163,0.75383,0.6197,0.81408,1.99e-05,1.99e-05,1.99e-05
1,26.9806,1.49888,11.6797,1.13109,0.00478,1,0.05103,0.04592,0.40455,12.1536,0.74186,0.09901,1e-05,1e-05
2,47.0082,1.26414,6.28421,0.93805,0.00377,1,0.03491,0.01817,0.97485,7.77489,0.91005,0.0970297,2.9703e-05,2.9703e-05
3,68.7929,0.86496,3.05869,0.86303,0.00362,1,0.09476,0.07877,0.73366,6.24168,0.88093,0.095049,4.901e-05,4.901e-05
4,90.6599,0.94623,2.67723,0.87426,0.25272,1,0.995,0.74606,1.0662,5.96169,0.90347,0.0930679,6.7921e-05,6.7921e-05
